,Addison Road,Anacostia,Archives-Navy Memorial,Arlington Cemetery,Ballston,Benning Road,Bethesda,Braddock Road,Branch Avenue,Brookland,Capitol Heights,Capitol South,Cheverly,Clarendon,Cleveland Park,College Park-U of MD,Columbia Heights,Congress Heights,Court House,Crystal City,Deanwood,Dunn Loring,Dupont Circle,East Falls Church,Eastern Market,Eisenhower Avenue,Farragut North,Farragut West,Federal Center SW,Federal Triangle,Foggy Bottom,Forest Glen,Fort Totten,Franconia-Springfield,Friendship Heights,Gallery Place-Chinatown,Georgia Avenue-Petworth,Glenmont,Greenbelt,Grosvenor,Huntington,Judiciary Square,King Street,L'Enfant Plaza,Landover,Largo Town Center,McPherson Square,Medical Center,Metro Center,Minnesota Avenue,Morgan Blvd.,Mt. Vernon Square-UDC,Navy Yard,Naylor Road,New Carrollton,New York Ave,Pentagon,Pentagon City,Potomac Avenue,Prince George's Plaza,Reagan Washington National Airport,Rhode Island Avenue,Rockville,Rosslyn,Shady Grove,Shaw-Howard University,Silver Spring,Smithsonian,Southern Avenue,Stadium-Armory,Suitland,Takoma,Tenleytown-AU,Twinbrook,U Street-Cardozo,Union Station,Van Dorn Street,Van Ness-UDC,Vienna,Virginia Square-GMU,Waterfront,West Falls Church,West Hyattsville,Wheaton,White Flint,Woodley Park-Zoo
Reagan Washington National Airport,17.7,30.9,118.5,15.2,124.2,13.8,102.7,84.7,33.2,28.1,9.5,68.5,5.1,28.9,28.5,36.0,154.7,17.5,59.8,256.2,9.3,38.3,130.6,28.9,52.2,57.3,39.0,237.4,35.9,52.7,287.1,19.1,52.6,239.5,60.7,215.3,60.1,40.2,48.6,41.3,176.3,17.9,290.3,230.3,11.1,36.7,214.1,42.7,164.8,10.1,9.8,77.1,69.8,17.1,48.8,46.5,191.3,229.9,32.9,36.4,45.9,19.2,26.7,209.0,90.0,55.1,117.7,63.2,37.1,17.8,38.2,44.7,41.6,36.1,94.2,198.5,91.7,41.3,80.5,37.1,30.3,55.6,25.4,19.4,44.2,78.0
Rhode Island Avenue,29.6,176.9,20.1,0.6,26.1,62.2,50.3,7.6,26.3,103.9,23.3,17.1,6.4,9.0,17.0,15.8,183.7,71.6,14.7,30.6,31.0,10.7,205.4,7.4,27.4,3.4,401.8,31.2,17.6,38.9,125.0,13.2,204.7,17.7,62.4,280.0,109.4,51.3,33.1,8.8,18.9,218.4,22.7,85.7,7.8,26.2,58.8,37.0,303.4,57.7,8.4,29.8,43.5,39.1,16.5,179.2,49.3,55.7,41.1,45.1,18.5,69.9,19.5,42.1,40.8,48.2,224.2,34.7,79.3,20.7,55.2,126.8,62.2,15.9,72.0,408.4,7.0,44.1,12.4,7.1,50.0,22.3,34.9,69.8,20.7,44.7
Rockville,12.0,17.8,12.3,1.0,30.7,10.3,341.0,4.8,17.9,32.5,9.4,32.2,3.5,8.1,44.7,24.0,16.3,7.9,13.2,36.4,2.3,10.4,325.4,4.4,15.6,4.3,506.6,14.0,39.2,39.2,62.4,1.5,17.7,9.2,212.2,216.9,6.7,2.3,19.2,76.2,10.8,95.1,21.7,79.2,8.4,14.4,20.3,303.8,277.1,10.6,6.3,12.4,56.1,7.4,23.6,35.2,26.7,29.9,7.7,11.7,31.1,22.7,33.7,46.4,359.7,14.3,30.8,78.0,17.8,3.7,19.4,14.2,106.2,190.0,21.2,194.7,4.7,64.1,14.7,5.6,11.7,16.2,8.1,2.9,203.3,92.7
Rosslyn,69.9,66.6,57.9,102.2,549.3,30.7,83.6,160.7,112.4,70.5,25.5,232.9,33.1,217.9,43.8,39.2,118.0,18.0,185.6,530.0,26.0,238.7,171.5,138.6,159.9,39.3,22.6,1173.9,133.8,297.0,977.6,34.4,68.2,382.1,77.2,208.5,79.7,99.3,93.8,48.6,254.1,113.5,330.0,301.4,39.0,106.1,819.6,37.1,769.9,38.8,57.7,45.4,159.0,29.8,287.9,82.0,592.6,774.2,85.3,59.6,222.1,50.9,45.2,96.7,173.8,51.0,171.4,353.7,75.5,40.9,87.7,71.3,48.4,33.3,96.8,574.1,144.5,66.2,671.6,200.3,53.3,477.5,41.2,58.4,27.9,102.8
Shady Grove,19.2,36.2,56.3,7.6,86.9,12.5,564.0,10.1,26.9,79.4,11.9,87.5,9.6,24.0,73.3,41.2,40.5,11.8,50.0,147.9,7.1,26.7,754.9,12.4,30.4,16.8,2069.5,68.0,187.8,196.8,251.4,3.1,33.7,27.7,412.4,732.5,24.2,6.9,28.3,101.7,19.9,367.9,110.0,447.1,11.2,20.6,148.0,619.9,1181.6,15.1,20.2,31.5,248.1,13.3,42.9,160.5,137.0,68.6,13.4,29.7,102.2,46.6,381.8,171.4,71.3,41.0,71.7,398.8,26.3,14.6,57.7,31.2,220.8,411.9,68.7,603.6,8.6,121.6,24.0,21.3,40.8,33.7,12.3,8.6,451.4,213.7
Shaw-Howard University,21.2,198.2,104.8,1.1,29.7,65.9,31.9,17.6,51.3,28.6,29.3,35.4,8.8,15.4,10.5,51.1,306.9,78.9,24.9,62.1,23.4,11.5,43.3,7.7,30.1,7.6,121.4,26.6,21.8,18.3,90.3,7.6,106.7,23.9,28.7,314.9,69.7,28.7,77.0,9.5,22.9,28.7,43.0,150.3,19.8,30.7,20.4,17.1,70.8,47.9,14.0,42.8,91.6,59.0,39.8,18.5,67.8,101.7,49.7,136.0,41.7,43.3,14.4,46.4,39.3,53.7,81.8,29.4,93.0,27.0,80.7,29.4,37.2,8.4,36.2,142.0,11.7,28.7,25.8,5.3,84.1,29.6,67.4,25.5,9.1,12.3
Silver Spring,40.8,102.9,60.4,5.2,109.7,34.6,22.3,35.6,91.4,463.6,26.5,62.0,7.4,31.9,48.7,165.9,222.9,34.5,54.0,104.9,18.2,38.7,558.1,27.6,57.6,14.1,1346.2,68.8,70.4,115.7,294.8,95.7,245.4,51.2,45.7,775.3,113.5,421.0,181.8,9.1,64.7,459.4,87.0,289.2,19.0,47.0,129.4,11.5,937.9,31.5,23.8,68.8,142.3,45.8,37.4,330.6,140.1,147.2,43.7,133.8,116.1,232.9,29.8,163.7,72.2,78.7,155.5,190.0,86.1,27.2,111.0,254.5,83.1,9.6,215.0,1280.7,21.0,77.7,64.7,31.9,65.6,66.8,116.0,326.2,11.6,111.4
Smithsonian,87.3,58.6,28.2,200.5,298.6,59.1,178.7,69.5,230.3,65.1,55.7,296.6,63.4,99.3,89.8,92.2,76.6,31.0,172.9,308.5,28.4,218.1,349.1,170.7,188.0,37.7,60.9,315.8,96.0,69.9,410.5,58.4,54.3,264.8,128.2,126.0,39.8,155.5,164.1,154.0,171.5,27.5,178.5,105.5,85.4,199.4,272.0,46.1,276.2,39.9,76.2,26.1,46.3,36.9,520.5,86.4,151.1,321.2,90.0,47.2,59.7,39.3,87.3,426.9,478.3,33.2,224.6,99.9,86.8,74.4,72.2,117.3,101.2,87.7,55.8,513.4,95.5,104.0,636.1,82.8,31.8,381.2,35.3,66.3,52.5,299.4
Southern Avenue,13.1,114.6,292.5,1.6,54.6,31.6,36.2,14.1,55.4,56.7,13.9,50.8,7.3,10.1,8.2,23.7,162.0,44.0,15.7,49.5,17.6,15.8,86.2,6.2,18.2,9.8,200.2,195.6,44.4,115.3,202.1,4.4,84.7,22.6,47.4,412.0,87.4,13.8,38.0,9.2,22.2,66.4,38.4,326.3,13.4,36.3,179.0,55.4,153.2,49.4,12.2,67.0,149.1,76.4,56.5,89.8,120.4,117.1,11.7,73.0,34.5,67.2,16.8,65.3,25.7,88.5,82.3,75.8,38.1,29.2,105.2,20.6,33.7,11.8,92.8,196.2,11.2,27.5,14.3,12.8,83.6,32.7,19.9,22.3,24.8,17.9
Stadium-Armory,83.2,64.0,31.5,0.8,28.2,92.2,17.7,12.1,13.2,23.0,37.9,51.5,11.8,10.2,6.6,4.3,79.0,32.3,19.5,28.4,44.7,10.4,42.1,8.2,99.7,1.5,14.7,174.6,55.5,61.5,125.1,4.5,27.4,14.2,19.8,62.3,37.2,4.0,6.6,2.6,8.0,24.3,22.9,86.9,24.1,50.7,109.3,8.3,121.8,99.8,24.2,17.1,28.2,15.0,74.1,18.4,43.1,43.4,87.6,10.7,13.5,20.0,3.6,39.8,15.8,27.0,30.1,67.5,36.5,44.7,21.7,9.6,19.9,4.6,37.3,25.6,8.4,19.2,19.4,7.2,30.9,17.4,5.0,3.5,6.4,13.9
Suitland,5.5,229.1,317.4,1.8,59.0,19.3,42.8,19.2,101.9,36.6,7.3,31.2,6.9,13.5,16.8,37.6,199.8,100.8,29.1,91.6,8.2,21.5,95.5,8.9,20.4,11.9,195.8,176.3,43.8,99.8,155.2,16.5,65.9,22.3,56.2,477.5,86.6,18.2,59.1,12.6,29.9,52.8,45.0,360.8,10.1,25.4,152.9,64.7,145.5,30.8,6.4,73.3,207.8,127.4,56.0,70.6,148.1,141.6,17.5,82.7,45.3,57.1,19.3,80.0,51.3,85.9,115.8,63.8,120.2,20.6,43.6,23.5,33.6,17.3,104.4,216.0,14.4,34.8,32.3,17.7,83.3,53.0,30.7,25.7,27.0,33.1
